Run ID,Distance,Time,Time Changed,Moving Time,Elevation Gain,Elevation Over Time,Start Latitude,Start Longitude,Polyline,Difficulty
1768377224,7.046722143,2842,0:47:22,403,117.5,0.041344124,33.78,-84.39,a~cmEhebbOy]y@Mcr@kAkGW{\XacA~UkOtj@_IbYaWjGsCjQ`BnNpQqJwNcLuFeJ~@w]lXko@tLuSfOdBfzCh^`C,2
1683505129,6.275165533,2241,0:37:21,2,84,0.037483266,33.85,-84.36,_frmE|e|aOpCjQhKpMbH~AvDvFvQd]pH`YnIlIxZxLtXzXxi@p@n\dHtOnNxIvCnMNrX~GzMOh]mFrHqG`KaSpLsApi@mYvOkAhGzEzHO`AyHQq|@,2
1590596322,3.39504792,1053,0:17:33,89,0,0,33.79,-84.33,q_gmE||taOk@cBeBbAt@lHhAq@HiG}BSUfGjAdA`A}@AgGaCPG~EzAlAv@mHyBYb@jIlAo@HeGuBUWlGp@z@pAw@ByF_C@K~E`AtA`Ak@LaGk@cAuAfAIdFlAfA`AoHcAeAiAlA?lF~@x@|@q@HgG}BGArF`AjAv@s@BoG{BRChFtAbAn@}H_Aq@gApA@`F~@z@z@q@JqFa@iAcBj@@fG|Ap@NqIkBNHtHe@sB,0
1590596181,0.658467052,313,0:05:13,14,19.8,0.063258786,33.79,-84.33,gdgmEhbuaOB|AyIjEq@_AAaOt@pPpIoE,1
1563193349,2.13733049,904,0:15:04,0,42.9,0.047455752,33.78,-84.39,m}cmEvdbbOqAo@YlHgFlHw@tYdDhGhQh@pC}C~ByS|DwNrDy@NwQmGwCiFd@k@jDiPtDItIlAQZsF,1
1563193159,6.79960282,2805,0:46:45,907,130.3,0.046452763,33.78,-84.39,}}cmEtebbOg@kAg\KkAqoAwM_I[iG}CiD~@aD_AsBoOyC{BuDzGwC~B}JhDcb@~C{F|KkCxu@v@?hW|M\TwLhL}GAuFzBeCaVpJ}e@|HcU|OIhsAjA~ATxPm@xUrARa@nY`^vC,2
1545983474,8.052038595,3175,0:52:55,1057,156.8,0.049385827,33.78,-84.39,k~cmE|fbbO}@}ABeGjBq@`xA]iAgb@hBwI_@_W|CgJSo[nIq@eAqKLwNgYg{@aAaGh@iM{CeEcEYkK}HkD}EwDmP?eCzAIcBHHrGjHhRpLpIbFn@~BvDU~OpZ|`Al@jZmHAKh]uCzJUbSmAxFnAzCcArFpAQ_AbQx@bAGpF}@bCoIkBamAd@YpH|AfB,2
1544058480,5.810131333,2220,0:37:00,687,74.9,0.033738739,33.78,-84.39,m~cmEffbbOkAqB_[{@R}b@kAsi@wNyHIuGwA_BmJYzHa@l@mDgAsB}IyBcDjAJjFbI`DbF{A]}EoJ}C}CbADrF`IzChFcB{@iFwJqCeCxAFjFxI|CvEeBi@wEqJuDyC|AYxDnBbCxKr@lB}Ca@wJoAmAj@aC`R{A[be@LpGp@Nv@lu@z[cAs@dHb@|SrAzA,1
1544058082,7.384250974,2863,0:47:43,750,119,0.041564792,33.78,-84.39,g~cmEtfbbOkAgCc[s@?go@wAwGLgaB~RsMnm@aKtXuUjJoDhNxBlSvVzJlDeKcEaUcXwOw@}_@bYkm@vKeUdPIpgAbAxv@x@?w@rKb@|Lv^hC,2
1540818076,4.606535334,2002,0:33:22,17,95.8,0.047852148,33.78,-84.39,a_dmEhfbbOdEcDzIqAVmCxMf@ExQuDL@hFgC|EuD`YyA`BeQ_@uCeCw@mDz@_Y`F{Eb@iItPoD~@_DvKARjSsD\Q~E}DrK_BhP}ChE_Pi@uDqFp@a[bFkF`@eJ}[B`[f@Z~IlAoH,0
1537449028,19.40399318,8504,2:21:44,1850,338.3,0.039781279,33.78,-84.39,uzcmEvgbbO`Gb^{@tO_BfBlIhB`Fi`@lF_Gdr@_@fEwDR_s@y@qC|DeHyByAo@{JfAaKhCyGDg]tHSk@}Z}ZeaAPkPcCeDaFs@_LoIgHiQk@aJ{DcGlCyJaDoIt@aCyA_@?}CpA]qAiBz@kBQmH}BoDm@kOf@sQ`h@Y`@yo@nBaTvFiMmJsTcDyf@aa@ofB{BoCoCmRsKTk@cUoGiTsDmXaGmJkPwMpHgTcAyN|@}@s@aCbAsKeAsEx@uAeHwEqZy@wLRuQ`GoQeDiFaDgO}Ow[sf@uGoe@t@kJuG_S}g@o\gM}CaQeKoG_HeDoIw@sTtAmGtEox@o@qTgEoQiCj@}c@iy@sC{Py@gRnGyYxLgXvj@}g@`Ko`@~GsN`AqJpTiC?iI{Mgl@,2
1537447945,3.062925018,1371,0:22:51,258,38.6,0.028154632,33.78,-84.4,ewcmE|zcbOhLnCaGtPqHrCuL`NeVnKuJtB{V[[`KjEpC{DaDJ_IdSj@|LyAxQ}HbTmSfGqCbGkQ_M_D,1
1533866461,7.38176549,2966,0:49:26,672,142.4,0.048010789,33.78,-84.39,_~cmEnfbbOg@qAu\[m@qqAoNkHaA}HyKm@zAoKeHCgCiGxGgDnBkH`E_e@vCoEvI}BxR`@oKq@XfSlClKha@lKtGHx@mRrMNJiJlKiH\oHfBgCgV|Kqe@fH}TdPMrhAHfPjAjDLrz@n]l@b@fA,2
1533866128,7.902971646,3205,0:53:25,488,156.2,0.048736349,33.78,-84.39,c~cmElfbbOgCyAqYHQp_Ai`@jR}OrBcKKeAoLiMib@_K]KqMyIyOkD~CoIpAmD~FmEbCwCjNeR]wFfFMdC}MjFoCiC{@wEwDpD{DuA}AoGv@qN_EiDS{Pz@yIpIk@nd@bJ`f@mH`MgObE_KbMcBng@yW|OaB`SxFDpStBd@eAvEMt[j_@`B,2
1533865735,5.099096278,2212,0:36:52,575,106.9,0.048327306,33.78,-84.39,i}cmEzfbbOUaB_^MFwZgAiHf@m_@_A_KgMwIGkFkA_ByJs@z@_K_IOsBwEpAcBi@yB{EwF[wDuYcAqBqCeCt@qDaJiF|Dzx@zv@fQ|BdQtJvAxh@gA|@^dVr@dAg@zJ`^hAl@tA,0
1527049068,7.416624413,2922,0:48:42,338,121.5,0.041581109,33.78,-84.39,k~cmEffbbO{@wAm[OFqp@aAm^u@c@N}iAfWiOpi@_IlYiWvHgCjFQfH|BdRzUtK`EaK_EmS_WyNgBcItCmXdUin@dLqSlNY|bA`C`d@?rq@|]dD,2
1522598602,3.802170325,1608,0:26:48,213,67.1,0.041728856,33.78,-84.39,a|cmEpfbbOxBsDvImA^sChGmAxCPd@zAnjAIdLrMlGhToKd@`Li@}DyNiHuKyK|GkBcDcGhFu@uQyCw@id@p@mYuAyB\QjDkIlAaAhD,0
1522598196,3.303768492,1044,0:17:24,2,77,0.073754789,33.77,-84.4,mdcmE|ubbOeDvGeCzUgDdDuQuAkCeEFaKsKQxKf@dAuP`F_FFmHeG{A`@qF|NAkBfHvKeCZcD`N`@?jV{G~GiCfYkBdDbEwZhDgH,1
1521139018,0.628392687,309,0:05:09,2,3.7,0.01197411,33.78,-84.4,qcdmErzcbOoEkHr@oXz@yC`EuCPkInAjA,0
1521138986,4.208049988,2103,0:35:03,2151,86.7,0.041226819,33.78,-84.39,{}cmEdfbbOaAuA_@~HaF|F_Av[rCxEnSpAxA|AqUnXn@zD_KzIaZ|JcYBQtJlDzB`BvPxDT}@uMuJiGDmD`LiD|FdAjKkBbS{HpJoI{@{EvFaE|NuSoIwBwJb@,0
1519444167,4.58590581,1673,0:27:53,1173,62.9,0.037597131,33.78,-84.39,g~cmE~ebbOq@kBy[_AHyb@OeLsA{F?gUqMwIcAwH{Kw@rH@fAiDmA_CoJmCiC|@i@pDx@rB`K`CdDwBoJfAhFf@|BkC{BvBkFSdFf@bCgBiJfAhFd@rBcCcIxC~IClAzAFrEvGdGbFz@m@`LbBjQq@xKf@`d@t^tB,0
1517088902,7.645226875,3117,0:51:57,494,136.9,0.043920436,33.78,-84.39,o}cmE`fbbOhC{ClJyAVcCjIsAxQrBvDcA`w@p@zF~GdOmOn]oi@pC{GMyRzPH`@wg@|^bAfA_FhIjCpSeBpHuCy\dFiIsB}A~Em]g@e@be@aQI{@zW_Zjf@iJ`Js@rCwHhFsH}FihA\uKiBuC`@GhD}HlA}CjD,2
1512047512,8.246527778,3225,0:53:45,348,123,0.038139535,33.78,-84.39,}}cmEvfbbOq@{Ai\YD{s@_Ae[aO}IToEeAmBuJ{@n@kKuGFu@uAjFcB@wKzDu@`FpHjOgCFgXxIkHvRmIfd@sGnYqVjFoBbPrArPhTdNdGuKuEkS}VkOsA}FpBqYbVmm@vKkTdOjA`{Cj]v@f@tA,2
1510900811,6.91132536,2945,0:49:05,499,143.9,0.048862479,33.78,-84.39,m~cmE`ebbO}@{BGi\mZ~@yBe]lBe@aBgT}M_JBcF}CmCl@mFaScEaJuMyE\dByByBKeDuDbBu@nJtBYkDwXOyAoDRqDaGZ{ByBw[dTse@fVh{@}d@~x@nw@bKZ~GdDf@xJy@pMpPbEbA~w@t]lB,2
1506686264,0.586015171,258,0:04:18,2,3.8,0.014728682,33.78,-84.4,mcdmEvzcbOwEkGp@gZlAyCdGoBH}F,0
1506661176,3.734316591,1874,0:31:14,564,84.6,0.045144077,33.78,-84.4,ywcmE`zcbOgNeBwA{C\wKaSWTmfAiA_j@h_AnGOprAoDX_EpOsC`WiLdAjCP,0
1504757808,2.926161218,1209,0:20:09,325,52.7,0.043589744,33.79,-84.38,scfmEto~aOS|EpF`Dn@_E}GuBVoAmCyEtAaCoH_KLuAzCAdAlBzRk@~B_BtCv@rDmFlB\~Bl~AM~p@d_@bC,0
1504757498,2.012931977,653,0:10:53,2,7,0.010719755,33.79,-84.38,}|emEh{~aOtGLdBuDiBaDcKuBcCbE`ClEvHrArDqCqAmEmK_CiCxCpBfFvHzA~DaE{AiDuJoByCdEbCbExIlAjCaDeAyDsIeC,0
1504757323,1.519252565,576,0:09:36,149,28.6,0.049652778,33.78,-84.39,o}cmExebbOy]}ARef@oByh@qNmINwEcAwBmKs@,1
1502503314,7.914591287,3075,0:51:15,280,159.3,0.051804878,33.78,-84.39,g~cmEpebbOo]qAy@xOXjo@y_@tRoSrBoHSk@{KcMab@mKw@a@gOeI}M{DlDsI~AaDfGyDdB}CdNuGl@gIyAcGbGO~BsMtFcF}JiDnEaEcBsA}Gp@yNqDaCYyNfAyLjKQfa@pI~f@gHbGcG`JeRdNaC~g@uXjNsArH~@pJxFvApK[vh@t^fC,2
1501435661,0.585269526,266,0:04:26,99,0,0,33.78,-84.38,e{cmEfh`bO{@~NeBlBSre@dBvB,0
1501435531,6.160025451,2206,0:36:46,187,97.3,0.044106981,33.78,-84.38,a~cmEzh`bOfAx@t@g[cd@yCk@kf@eBJwDbGg@lO}AhDyBoL_EuCaF{IfIar@vCaD`OuBoAaw@j[sJtKQd@tcAse@Yd@|XcCpBh@pjApc@rEs@~Q{@J,2
1501435171,0.651818381,278,0:04:38,184,30.3,0.108992806,33.78,-84.39,u~cmEvgbbO{AcCd@{a@dBgCh@iMeFkA,2
1498637766,7.408235902,2990,0:49:50,271,119.9,0.040100334,33.78,-84.39,}|cmElfbbOoByBe[}@Cgq@cBea@L{eAzUwNxj@oIrYqVnIyC|NtB`SzVvJfDsLmFeSaViNwAaGjBqY~Uam@pKaUpOObiAn@Lv@pc@s@dIlAtGi@fYf]v@z@hA,2
1497760917,12.53069574,5194,1:26:34,691,162.8,0.031343858,33.78,-84.39,u}cmEtfbbObDmDbIkAdAiCrb@u@hv@v@pEvF~RaQd_@yp@[}YeDw]kNiq@mHeo@uFmOiVk^qF_RoIqfA|B{SlHaVZaQyAuJqLmVnKdVtAbIQ|QuG|ToC`SdAh]zFrh@|FnU~Vn^dF`OxHbq@hNnq@lDja@Y`UiTp^oC|JeVnTwFmEeFc@w{AYoD~I{D@E~IhAMT_G,1
1495464683,7.005214547,2845,0:47:25,636,120.6,0.042390158,33.78,-84.39,u}cmElebbOtCmC|IkARuC~Hq@pIpAjeADvGxGtVsW}UwM_GjB{LSeW_M{dBsI}@ySuMuH]{GmCmCpAqBYqC{KkMfFcb@dVzEMtdAdBrj@Opg@nZ~@D`GkBvBj@R~DaATkF,2
1491517343,6.832535493,2603,0:43:23,845,98.3,0.037764118,33.78,-84.39,_~cmEvdbbOeAiAa[k@eA{mAmNsIUkGuCqCeHXpA}JyHsBWnGxClEzHh@hC{BkA_FcMeAuA|B~@tDdJjCvCkAl@sCqAuCaKqBqCtD`DvFxHr@dBkAXuCcBeC}JgB}BtDdDzEtG|@nDsD{BmDwJuBeBn@YfCzAtDrCdB~AkKaK}Ci@{B~@mCuG}HNiBzEbClUqClDdAlDqFfCj@fC`oCz^hC,2
1489086496,8.191412153,3163,0:52:43,260,150.1,0.047454948,33.78,-84.39,y}cmExebbOzNcFn@uC`zA`@dMtPlExOK~B\y@eFuQeEmHpPuQjBcGiTmK`Bh@qKfBqCkCsAjA_Du@oE}GtByHeAoAb@cTtCeKG_Z`IiAcAcK^cKsZebAFuKCnLiN`ByZvVsm@pKsSpOCvrAhBf\Qhh@j^vC,2
1487743653,7.337648135,2773,0:46:13,749,95,0.034258925,33.78,-84.39,c~cmElebbOs]eADw_@w@yHt@mGwA_HG_U}LiHSmGsCkCcI@hIUj@uDkAmB}J}B}CvDtBpEbH~AhEgC{@{EmL_CyBbEpFtF~D^rDuCMqC{AuA_LoA{AdDt@vC~HvC`FgBLuCoAoBiKwBqCdEvFpFrGJdB_EeB}C{JkBgCvCh@lDjKfDpDwDcBuD_JwBmCtAYxBrGvD~@eIqKiDe@qAhAoC{GeINkBlBKhBzB`VoCbEz@rCeFrBHz@|JdArdC`_@`D,1
1485515019,8.200919132,3261,0:54:21,340,125.3,0.038423796,33.78,-84.39,w}cmElfbbOoAyByZo@oA}mA}MeJiAuHeRkEUqIsB{CfGmCn@uDnCkA~FlHtPcCDwY|SuM|l@aKla@mZdQlBpNpSxN`GeLeFoRkVkNiAcIbCsYtU}n@vLyQjMv@djAaArPpAt~@n^fC,2
1484292542,7.089472481,3057,0:50:57,223,132.3,0.043277723,33.78,-84.39,{}cmErcbbOrN}C^{CxMLxAscD`K_I@{FtB{BeV~Jgi@zI{Q`OmUpKoq@{A`E`FhHoBvI`C`HjJ}@zBxBfFGdFxCzC`Jh@tAeBUyD{KmD_DdD`CzEzNxBdAlHlFpFpFpA~@xoAzY`Ap@jI|A_@PyE,2
1480851421,3.493659528,1459,0:24:19,580,66.6,0.045647704,33.78,-84.39,a~cmEpfbbOJ_BgA@O~GeEtEqAvHKrTzCtEvHb@oBvFPqE{BK_@hLzCBTcJmCeA_@hLjCH^aJkCoAYnLhCCZiJsCw@U|KjCD^sJxAaB~GCjB_CpHwe@hEWFuQeF{BgO^}DxHkAJDzA,0
1476409021,7.902785234,3207,0:53:27,135,156.5,0.048799501,33.78,-84.39,m}cmEzebbOw]qA{@r`Ama@rR_S`BcG_@o@kKqLy`@o@mAqJc@OeNkI{NeDlDyIrA{D~GmFfCwAtL}CfA}L_BmGtFEtBkN|FeFwJaDjEyDyBsA}Fl@_OmDeCe@oQhAeJtKOdb@vIde@iHlGqEtJ_T|LuA`a@eUlRoFzO|AfGtDpAhTM|a@p^nB,2
